2026-02-24 12:00:11,826 INFO    MainThread:144720 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_setup.py:_flush():81] Configure stats pid to 144720
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/anas/thesis/wandb/run-20260224_120011-eewea09u/logs/debug.log
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/anas/thesis/wandb/run-20260224_120011-eewea09u/logs/debug-internal.log
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_init.py:init():844] calling init triggers
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'architecture': 'Hyperprior + LowResMask', 'dataset': 'ssl4eo-small', 'epochs': 100, 'name': 'very first run', '_wandb': {}}
2026-02-24 12:00:11,827 INFO    MainThread:144720 [wandb_init.py:init():892] starting backend
2026-02-24 12:00:12,043 INFO    MainThread:144720 [wandb_init.py:init():895] sending inform_init request
2026-02-24 12:00:12,048 INFO    MainThread:144720 [wandb_init.py:init():903] backend started and connected
2026-02-24 12:00:12,050 INFO    MainThread:144720 [wandb_init.py:init():973] updated telemetry
2026-02-24 12:00:12,054 INFO    MainThread:144720 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-24 12:00:12,745 INFO    MainThread:144720 [wandb_init.py:init():1042] starting run threads in backend
2026-02-24 12:00:12,827 INFO    MainThread:144720 [wandb_run.py:_console_start():2524] atexit reg
2026-02-24 12:00:12,827 INFO    MainThread:144720 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-24 12:00:12,827 INFO    MainThread:144720 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-24 12:00:12,827 INFO    MainThread:144720 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-24 12:00:12,830 INFO    MainThread:144720 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-24 12:00:32,320 INFO    wandb-AsyncioManager-main:144720 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-24 12:00:32,320 INFO    wandb-AsyncioManager-main:144720 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
